Name,Original Price,Discount %,Product URL,Image URL
Women Linen Saree with Embellished Border,599,70%,https://www.ajio.com/svaraa-women-linen-saree-with-embellished-border/p/701878068_purple?,https://assets.ajio.com/medias/sys_master/root/20250707/NArQ/686bc87fe590ff066e2bbcb7/svaraa_purple_women_linen_saree_with_embellished_border.jpg
Women Printed Saree with Contrast Border,351,73%,https://www.ajio.com/revangi-women-printed-saree-with-contrast-border/p/701758780_pink?,https://assets.ajio.com/medias/sys_master/root/20250617/o2Yu/68507a5155340d4b4fb7c6f1/revangi_pink_women_printed_saree_with_contrast_border.jpg
Banarasi Artsilk Traditional Half-and-Half Saree,616,72%,https://www.ajio.com/indie-picks-banarasi-artsilk-traditional-half-and-half-saree/p/701889856_orange?,https://assets.ajio.com/medias/sys_master/root/20250709/WCFt/686d7577b13fc54edd082225/indie_picks_orange_banarasi_artsilk_traditional_half-and-half_saree.jpg
Women Printed Saree with Contrast Border,351,73%,https://www.ajio.com/revangi-women-printed-saree-with-contrast-border/p/701758578_pink?,https://assets.ajio.com/medias/sys_master/root/20250617/gHWW/68507d207a6cd4182fb5ff49/revangi_pink_women_printed_saree_with_contrast_border.jpg
Women Geometric Woven with Contrast Border,1289,57%,https://www.ajio.com/soch-women-geometric-woven-with-contrast-border/p/701759433_wine?,https://assets.ajio.com/medias/sys_master/root/20250617/ez8G/68514e7e7a6cd4182fb78681/soch_wine_women_geometric_woven_with_contrast_border.jpg
Women Embroidered Saree with Lace Border,428,80%,https://www.ajio.com/hritika-women-embroidered-saree-with-lace-border/p/467021786_wine?,https://assets.ajio.com/medias/sys_master/root/20240612/ntJE/666a09eb05ac7d77bb1713d4/hritika_wine_women_embroidered_saree_with_lace_border.jpg
Women Traditional Saree,759,75%,https://www.ajio.com/svaraa-women-traditional-saree/p/701084815_blue?,https://assets.ajio.com/medias/sys_master/root/20250121/0cDf/678fc316663dbe1c5fef065c/svaraa_blue_women_traditional_saree.jpg
Women Kalamkari Design Crepe Ethnic Motif Saree,825,75%,https://www.ajio.com/ri-wah-women-kalamkari-design-crepe-ethnic-motif-saree-/p/701573291_blue?,https://assets.ajio.com/medias/sys_master/root/20250514/If3W/6823abda55340d4b4f31f01a/ri-wah_blue_women_kalamkari_design_crepe_ethnic_motif_saree.jpg
Women Saree with Blouse Piece,6720,30%,https://www.ajio.com/arteastri-women-saree-with-blouse-piece/p/700895470_maroon?,https://assets.ajio.com/medias/sys_master/root/20241209/gCw5/6756cedd0f47f80c87e7671d/arteastri_maroon_women_saree_with_blouse_piece.jpg
Women Pure kanjeevaram Silk Saree,619,69%,https://www.ajio.com/svaraa-women-pure-kanjeevaram-silk-saree-/p/701926196_maroon?,https://assets.ajio.com/medias/sys_master/root/20250711/xb8O/6871580bb13fc54edd1c510b/svaraa_maroon_women_pure_kanjeevaram_silk_saree.jpg
Women Banarasi Silk Saree with Contrast Border,676,74%,https://www.ajio.com/svaraa-women-banarasi-silk-saree-with-contrast-border/p/701659168_olive?,https://assets.ajio.com/medias/sys_master/root/20250601/VvVu/683c618a55340d4b4f760cfc/svaraa_pista_women_banarasi_silk_saree_with_contrast_border.jpg
Satrani Satin Saree,2926,71%,https://www.ajio.com/satrani-satrani-satin-saree/p/700382321_wine?,https://assets.ajio.com/medias/sys_master/root/20240923/j43i/66f16cf0260f9c41e81d5803/satrani_purple_satrani_satin_saree.jpg
Women Woven Saree with Contrast Border,1087,63%,https://www.ajio.com/styleelite-women-woven-saree-with-contrast-border/p/467325646_green?,https://assets.ajio.com/medias/sys_master/root/20250610/TSny/6847d5a67a6cd4182f96a5e1/styleelite_green_women_woven_saree_with_contrast_border.jpg
Banarasi Artsilk Traditional Half-and-Half Saree,616,72%,https://www.ajio.com/indie-picks-banarasi-artsilk-traditional-half-and-half-saree/p/701889856_wine?,https://assets.ajio.com/medias/sys_master/root/20250709/Irkq/686d7729e590ff066e337d8c/indie_picks_wine_banarasi_artsilk_traditional_half-and-half_saree.jpg
Women Cotton Saree with Tassels,832,74%,https://www.ajio.com/jinal--jinal-women-cotton-saree-with-tassels/p/701576369_pink?,https://assets.ajio.com/medias/sys_master/root/20250514/YH7z/682479a955340d4b4f34239f/jinal_%26_jinal_pink_women_cotton_saree_with_tassels.jpg
Tissue Silk Traditional Saree With Blouse Piece,2044,66%,https://www.ajio.com/satrani-tissue-silk-traditional-saree-with-blouse-piece/p/701875259_beige?,https://assets.ajio.com/medias/sys_master/root/20250707/q7lX/686baa79e590ff066e27bf3f/satrani_beige_tissue_silk_traditional_saree_with_blouse_piece.jpg
Women Printed Saree with Contrast Border,1980,78%,https://www.ajio.com/panzora-women-printed-saree-with-contrast-border/p/700280462_green?,https://assets.ajio.com/medias/sys_master/root/20240813/X9kU/66bb4af71d763220fa7650b8/panzora_green_women_printed_saree_with_contrast_border.jpg
Women Printed Saree with Contrast Border,768,68%,https://www.ajio.com/jinal--jinal-women-printed-saree-with-contrast-border/p/701576862_turquoise?,https://assets.ajio.com/medias/sys_master/root/20250514/4U9k/6824a3707a6cd4182f301dba/jinal_%26_jinal_turquoise_women_printed_saree_with_contrast_border.jpg
Women Banarasi Silk Saree with Contrast Border,527,76%,https://www.ajio.com/svaraa-women-banarasi-silk-saree-with-contrast-border-/p/701055609_cream?,https://assets.ajio.com/medias/sys_master/root/20250114/DJqU/67867fcd0431850e0d9cfc2c/svaraa_cream_women_banarasi_silk_saree_with_contrast_border.jpg
Women Floral Woven Banarasi Saree with Contrast Border,728,72%,https://www.ajio.com/peachmode-women-floral-woven-banarasi-saree-with-contrast-border/p/701301055_yellow?,https://assets.ajio.com/medias/sys_master/root/20250305/ITC8/67c7817859f83539801b06ef/peachmode_yellow_women_floral_woven_banarasi_saree_with_contrast_border.jpg
Women Printed Saree with Contrast Border,920,77%,https://www.ajio.com/jinal--jinal-women-printed-saree-with-contrast-border/p/701576350_peach?,https://assets.ajio.com/medias/sys_master/root/20250514/2Mji/68247a2f55340d4b4f3433f0/jinal_%26_jinal_peach_women_printed_saree_with_contrast_border.jpg
Checked Saree with Floral Woven Border,407,78%,https://www.ajio.com/ri-wah-checked-saree-with-floral-woven-border/p/466533639_mustard?,https://assets.ajio.com/medias/sys_master/root/20230905/su6E/64f63ff5afa4cf41f5a4e374/ri-wah_mustard_checked_saree_with_floral_woven_border.jpg
Women Ethnic Design Traditional Saree with Blouse Piece,1386,79%,https://www.ajio.com/ri-wah-women-ethnic-design-traditional-saree-with-blouse-piece------/p/701627942_beige?,https://assets.ajio.com/medias/sys_master/root/20250527/kpBH/6834f75455340d4b4f57dfe6/ri-wah_beige_women_ethnic_design_traditional_saree_with_blouse_piece.jpg
Women Pure Georgette Sequin Embroidered Black Saree Saree,2176,68%,https://www.ajio.com/jaipur-kurti-women-pure-georgette-sequin-embroidered-black-saree-saree/p/700418996_black?,https://assets.ajio.com/medias/sys_master/root/20240913/JErk/66e46e811d763220fae68ca4/jaipur_kurti_black_women_pure_georgette_sequin_embroidered_black_saree_saree.jpg
Women Embroidered Zari Work Saree,836,62%,https://www.ajio.com/zikaraa-women-embroidered-zari-work-saree/p/701900441_green?,https://assets.ajio.com/medias/sys_master/root/20250709/Wggx/686e836fe590ff066e38ebe2/zikaraa_green_women_embroidered_zari_work_saree.jpg
Micro Print Saree with Running Blouse Piece,1719,57%,https://www.ajio.com/soch-micro-print-saree-with-running-blouse-piece/p/701630027_brown?,https://assets.ajio.com/medias/sys_master/root/20250527/ubG7/6835c99655340d4b4f5f1d71/soch_brown_micro_print_saree_with_running_blouse_piece.jpg
Women Embroidered Saree with Contrast Border,5694,33%,https://www.ajio.com/soch-women-embroidered-saree-with-contrast-border/p/700206429_wine?,https://assets.ajio.com/medias/sys_master/root/20240718/suCO/66991e966f60443f3179165a/soch_wine_women_embroidered_saree_with_contrast_border.jpg
Checked Saree with Blouse Piece,1280,68%,https://www.ajio.com/griva-designer-checked-saree-with-blouse-piece-/p/464679767_maroon?,https://assets.ajio.com/medias/sys_master/root/20230623/o45C/64950f8342f9e729d7885c13/griva_designer_maroon_checked_saree_with_blouse_piece.jpg
Woven Banarasi Soft Silk Saree,700,72%,N/A,N/A
N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A
